"Gene","logFC","padj","Significant","Regulation","Timepoint"
"TLR8",0.447526965609983,0.245600983730978,FALSE,"No difference","Baseline"
"SELPLG",0.468827699619487,0.245600983730978,FALSE,"No difference","Baseline"
"KLRB1",-1.06631360139835,0.303029957605089,FALSE,"No difference","Baseline"
"CD164",0.33043605412816,0.271411679174417,FALSE,"No difference","Baseline"
"PTPN2",-0.35095495530031,0.279286907592686,FALSE,"No difference","Baseline"
"CFD",0.561070451826073,0.274113367144282,FALSE,"No difference","Baseline"
"F13A1",-0.629966871900015,0.274113367144282,FALSE,"No difference","Baseline"
"FCGR1A",0.684894669859958,0.288659788002523,FALSE,"No difference","Baseline"
"CD3D",-0.5688564114838,0.286792035096678,FALSE,"No difference","Baseline"
"IFIT1",1.0430744621437,0.299521764861775,FALSE,"No difference","Baseline"
"IL28B",-0.743860344246182,0.350118838078289,FALSE,"No difference","Baseline"
"ATF2",-0.407798155511493,0.312137374985709,FALSE,"No difference","Baseline"
"CD69",-0.699957787208307,0.342331416822108,FALSE,"No difference","Baseline"
"SMAD7",-0.448008458997516,0.342331416822108,FALSE,"No difference","Baseline"
"ALAS1",-0.308784734587837,0.342331416822108,FALSE,"No difference","Baseline"
"TRADD",-0.572483406127276,0.356261133874607,FALSE,"No difference","Baseline"
"CEACAM8",0.564956176830739,0.32013654154069,FALSE,"No difference","Baseline"
"CCL4",-0.689517016768262,0.356261133874607,FALSE,"No difference","Baseline"
"CFI",-0.653637494833968,0.356261133874607,FALSE,"No difference","Baseline"
"CEACAM3",-0.541656316887004,0.356261133874607,FALSE,"No difference","Baseline"
"AKT3",-0.769452235514638,0.342331416822108,FALSE,"No difference","Baseline"
"BST2",0.47024340239143,0.342331416822108,FALSE,"No difference","Baseline"
"LTF",-1.67754481897305,0.356261133874607,FALSE,"No difference","Baseline"
"IFI16",0.317552227619583,0.342331416822108,FALSE,"No difference","Baseline"
"CRADD",-0.465651472997767,0.356261133874607,FALSE,"No difference","Baseline"
"ABCB1",-0.513860670796407,0.356261133874607,FALSE,"No difference","Baseline"
"MEF2A",0.580688153616532,0.356261133874607,FALSE,"No difference","Baseline"
"MAFF",-0.544990655619162,0.356261133874607,FALSE,"No difference","Baseline"
"NOD2",0.548573584943624,0.355788487671097,FALSE,"No difference","Baseline"
"ICAM4",-0.675257635637003,0.356261133874607,FALSE,"No difference","Baseline"
"CD68",0.507660461350197,0.356261133874607,FALSE,"No difference","Baseline"
"MAX",-0.471440861158168,0.356261133874607,FALSE,"No difference","Baseline"
"CCR1",0.380511315922747,0.356261133874607,FALSE,"No difference","Baseline"
"PLA2G4A",0.481501298479706,0.368433927773047,FALSE,"No difference","Baseline"
"ITLN1",-0.540520202768973,0.368433927773047,FALSE,"No difference","Baseline"
"GNAS",-0.622897313034207,0.356261133874607,FALSE,"No difference","Baseline"
"GUSB",-0.507024600679527,0.356261133874607,FALSE,"No difference","Baseline"
"C3AR1",0.980212698517646,0.356261133874607,FALSE,"No difference","Baseline"
"CD53",0.291208439504301,0.356261133874607,FALSE,"No difference","Baseline"
"MAP2K6",-0.41544471123567,0.356261133874607,FALSE,"No difference","Baseline"
"OAZ1",-0.807978960472212,0.394112724525418,FALSE,"No difference","Baseline"
"CD99",-0.379036919530213,0.356261133874607,FALSE,"No difference","Baseline"
"FADD",-0.287524740367696,0.356261133874607,FALSE,"No difference","Baseline"
"TCF4",-0.492412170645442,0.356261133874607,FALSE,"No difference","Baseline"
"CFP",0.376638946682728,0.356261133874607,FALSE,"No difference","Baseline"
"ITGAM",0.513527030880827,0.356261133874607,FALSE,"No difference","Baseline"
"HLA-DQB1",0.50948546995018,0.356261133874607,FALSE,"No difference","Baseline"
"IKBKE",-0.41863249087376,0.356261133874607,FALSE,"No difference","Baseline"
"CXCR6",-0.496616161624723,0.394112724525418,FALSE,"No difference","Baseline"
"BCL10",-0.713829554908921,0.356261133874607,FALSE,"No difference","Baseline"
"RUNX1",0.302752499339217,0.356261133874607,FALSE,"No difference","Baseline"
"LILRA3",0.710209744814453,0.356261133874607,FALSE,"No difference","Baseline"
"CXCL10",0.556625507018822,0.394112724525418,FALSE,"No difference","Baseline"
"TAPBP",0.39893656832405,0.356261133874607,FALSE,"No difference","Baseline"
"LGALS3",-0.336815597301092,0.356261133874607,FALSE,"No difference","Baseline"
"PRKCA",0.388049124440667,0.394112724525418,FALSE,"No difference","Baseline"
"STAT4",-0.490690779095312,0.356261133874607,FALSE,"No difference","Baseline"
"CD163",0.468104810929336,0.386433354585418,FALSE,"No difference","Baseline"
"DAXX",-0.357412655759058,0.386433354585418,FALSE,"No difference","Baseline"
"EIF2A",-0.327861947446472,0.356261133874607,FALSE,"No difference","Baseline"
"CLU",-0.461988323632758,0.356261133874607,FALSE,"No difference","Baseline"
"MCL1",0.331682422881061,0.356261133874607,FALSE,"No difference","Baseline"
"EOMES",0.303657056515815,0.373330560300904,FALSE,"No difference","Baseline"
"IL8",-0.703038534484126,0.356261133874607,FALSE,"No difference","Baseline"
"CCR8",-0.629729424906254,0.402741080307266,FALSE,"No difference","Baseline"
"PLCB1",0.516523579186739,0.402741080307266,FALSE,"No difference","Baseline"
"FCGR2B",-0.30578642144752,0.395488827882188,FALSE,"No difference","Baseline"
"ZEB1",-0.390901802771199,0.405877326400083,FALSE,"No difference","Baseline"
