Probe Name,sample01,sample02,sample03,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53
PTGS2,143.8,53.19,158.45,239.02,241.98,242.84,168.07,20,1190.13,251.71,207.75,307.91,175.5,248.54,294.8,273.01,219,163.17,662.2,44.24,126.78,162.56,172.04,207.58,93.95,127.35,172.15,162.4,239.51,128.07,133.34,52.53,102.8,64.87,90.98,103.2,167.32,110.01,271.51,76.63,39.25,92.75,197.58,114.12,126.37,212.62,259.45,121.49,99.93,152.04,116,86.6
PTK2,280.52,306.13,414.4,401.79,559.87,387.53,388.96,482.28,299.94,271.07,273.81,338.98,221.43,206.38,295.88,270.72,386.47,594.05,338.96,212.19,198.18,339.62,488.11,532.73,311.44,318.37,323.28,211.62,351.93,395.76,318.28,208.29,250.22,215.85,300.12,332.93,349.59,341.67,298.93,240.85,200.16,268.77,356.11,358.1,245.46,254.33,187.12,174.06,187.95,293.1,369.76,358.77
PTPN2,175.68,222.21,277.28,208.29,264.12,215.16,169.03,215.13,232.46,135.54,223.07,372.88,183.74,226.58,333.4,324.63,127.53,175.84,298.78,146.96,112.1,120.72,114.03,135,129.98,174.84,197.12,132.17,161.3,195,202.15,186.91,146.77,125.26,159.51,162.42,195.71,245.9,284.31,227.17,139.98,149.53,149.34,145.6,174.98,229.91,371.95,212.61,158.61,177.11,205.91,153.41
PTPN22,136.72,85.1,156.92,134.31,161.32,186.22,135.41,132.39,269.95,156.04,108.18,183.61,97.76,151.05,149.01,242.04,65.7,68.12,117.06,94.47,151.47,107.84,70.02,133.55,74.64,71.23,77.53,98.43,119.76,98.08,106.09,111.78,140.31,95.06,79.17,110.38,176.29,146.25,215.74,241.76,49.71,163.72,124.06,224.3,131.23,160.73,262.89,138.43,170.53,155.17,131.96,128.66
PTPN6,374.03,330.95,231.57,228.78,224.58,251.64,194,159.58,248.52,159.45,125.42,149.72,160.18,151.05,116.85,133.06,110.79,106.14,230.64,111.72,120.11,104.62,82.02,68.22,115.83,144.62,166.9,118.81,136.86,136.15,172.05,138.05,117.68,101.77,125.25,110.38,112.05,94.48,200.2,199.8,168.76,103.16,119.47,118.05,165.26,114.96,153.83,90.53,151.28,108.15,130.51,84.13
PTPRC,6050.33,4677.06,4913.33,5125.36,5064.17,5761.39,4176.71,3605.26,5111.88,3299.57,3742.39,4926.49,3435.7,4482.47,4993.45,4846.5,1292.1,1099.38,3005.25,1179.44,1566.07,1224.87,746.16,1625.78,1791.43,2538.36,2960.75,1911.58,2140.93,2438.04,3310.45,2810.44,2420.11,2007.51,2311.18,2367.27,3421.15,3799.82,6023.45,3865.49,2642.61,2912.03,2233.16,2506.7,3105.89,3757.93,5839.84,3256.87,3141.02,3152.01,3020.47,2011.59
PYCARD,401.66,312.04,478.38,269.76,343.2,461.77,307.32,277.78,321.37,177.68,374.33,707.62,222.61,366.22,548.87,525.37,119.81,275.64,424.58,254.18,181.5,152.91,146.03,133.55,153.15,303.27,361.39,210.91,202.85,261.92,367.03,341.46,173.93,163.28,145.33,126.53,171.8,318.38,509.19,839.33,313.97,158.99,197.58,216.43,296.49,255.34,479.86,464.35,215.45,216.3,230.56,220.21
RAC1,323.02,262.4,412.87,332.36,390.65,329.65,331.33,323.88,167.11,253.99,269.02,206.21,250.88,252.93,285.16,287.92,200.96,220.19,260.34,241.44,182.16,193.15,150.03,283.06,222.64,243.91,289.11,260.83,229.73,328.84,338.36,256.55,214.01,155.46,220.96,192.94,354.07,379.21,393.09,340.29,185.77,297.17,289.48,216.43,235.74,333.68,275.52,307.23,246.62,249.21,305.96,217.74
RAF1,228.81,119.38,135.59,209.43,189.79,212.64,151.74,112.3,142.47,162.87,96.7,221.75,123.67,158.96,141.51,188.12,113.36,128.31,115.32,70.48,92.75,91.74,72.02,100.16,70.78,125.19,111.7,108.97,119.76,101.54,111.83,100.18,91.81,79.41,89.8,87.94,112.05,110.01,148.1,107.65,94.19,106.94,85.01,86.57,140.96,120.04,133.17,99.88,105.43,103.45,105.85,61.86
RAG1,31.88,37.82,20,23.9,37.96,39,23.05,20,44.99,20,54.57,40.96,20,34.25,20,26.38,28.34,64.95,36.69,20,35.37,33.8,42.01,94.35,28.31,28.06,20,20,20,20,20,20,20.04,36.91,33.08,20,29.88,27.18,32,20,20,38.8,20,20,20,32.55,33.29,20,31.17,75.23,127.61,20
