Probe Name,sample01,sample02,sample03,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53
ABCB1,30.46,24.82,20,22.76,31.63,25.16,34.57,36.64,53.56,20,25.85,20,24.73,30.74,24.66,27.53,28.34,20,34.94,20,20,35.41,20,20,29.6,21.58,28.91,22.5,20,20,20,20,21.34,20,28.36,20,37.35,32.36,20,20,20,23.66,20,20,20,20.35,27.55,20,24.75,31.35,40.6,20
ABCF1,135.3,138.29,150.83,169.59,173.97,177.41,173.83,163.12,121.05,87.7,105.31,100.28,89.51,108.9,87.91,91.77,56.68,55.44,83.87,83.98,67.39,62.77,56.01,75.48,57.91,83.1,99.87,77.33,80.65,92.31,121.87,108.12,83.41,65.98,68.53,73.58,107.56,164.37,182.83,146.88,99.42,123.03,94.2,110.18,92.35,114.96,145.8,120.91,109.1,133.23,129.06,118.77
ABL1,20.54,23.64,20,27.32,20,20,20,20,28.92,20,20,20,20,26.35,20,25.24,20,20,43.68,20,20,20,20,20,20,20,26.28,20,20,20,28.67,20,20,20,20,20,20,20,20,20,27.47,20,20,20,20,20.35,29.85,20,20,20,20,20
ADA,45.34,43.73,47.23,44.39,20,59.14,36.49,30.73,76.06,31.89,44.04,39.55,43.58,34.25,43.95,42.44,20,34.85,20,52.49,24.69,20,20,69.68,45.04,29.14,45.99,43.59,20,38.08,43.01,44.59,29.1,30.2,24.81,31.41,43.32,53.06,72.22,77.55,27.47,44.48,45.95,20,70.48,48.83,34.44,54.32,47.67,57.99,44.95,49.49
AGER,42.5,27.19,31.99,37.56,39.54,36.49,30.73,27.19,20,26.2,20,20,34.16,30.74,34.3,33.27,34.78,20,38.44,20,23.35,20,20,30.48,27.03,26.98,28.91,33.04,20,20,28.67,20,20.04,20,20,20,20,34.94,25.6,29.19,20,20,20,20,20,22.38,33.29,20,24.75,39.18,20,20
AHR,203.31,126.47,67.03,119.51,88.57,57.88,79.71,79.2,107.12,80.87,45,20,98.94,60.6,47.17,34.41,57.97,44.36,52.42,55.49,70.06,62.77,64.01,90,91.37,74.47,55.19,51.32,80.65,66.92,51.61,51.31,73.71,53.68,82.71,75.38,100.09,89.3,65.82,72.07,73.26,80.44,80.41,90.51,72.91,74.26,56.25,48.48,45.84,56.43,60.9,59.38
AICDA,20,20,20,22.76,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AIRE,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AKT3,1953.02,1490.47,3869.72,3859.67,4890.2,4192.39,3116.45,3926.78,2500.24,2050.13,3305.83,4628.47,1575.92,2689.13,4531.41,4583.81,3476.94,5121.48,2640.07,1559.58,2272.04,2351.56,3294.72,5190.88,2712.89,2898.82,2344.42,1886.97,3262.72,4182.63,2954.89,1785.46,2326.36,2279.28,2742.45,3048.37,4901.66,3986.19,2941.79,1906.74,2112.78,3679.55,3724.23,3927.29,1215.14,2270.63,1763.32,1672.82,2584.51,2465.5,3037.87,1870.56
ALAS1,109.8,101.65,137.12,105.85,96.48,186.22,77.79,68.56,249.6,64.92,52.66,98.87,71.85,67.62,80.4,96.36,63.12,41.19,90.86,90.73,72.06,57.94,52.01,36.29,70.78,72.31,91.99,75.93,73.32,72.69,83.16,71.47,68.54,44.74,62.62,56.53,71.71,50.47,88.67,204.36,73.26,51.1,50.54,20,94.78,54.93,120.54,127.33,76.1,68.96,50.75,59.38
ALOX12,20,20,20,31.87,42.7,20,25.93,33.1,20,20,20,20,34.16,41.28,20,28.68,20,31.68,20,41.24,20,20,20,20,29.6,29.14,31.54,31.64,20,20,48.75,25.65,20,20,20,30.51,31.37,46.59,20.11,20,32.71,34.07,20,20,20,24.42,20,20,20,20,20,20
ALOX15,194.81,170.2,82.27,105.85,213.51,179.93,194.96,455.09,149.97,80.87,68.93,63.56,71.85,53.57,42.88,68.83,284.7,245.54,139.78,235.44,328.96,268.8,262.06,422.41,91.37,76.63,59.14,131.47,48.88,66.92,43.01,113.61,243.76,118.55,133.52,103.2,200.19,151.42,107.87,359.45,122.97,436.28,278,161.34,221.15,463.89,237.63,124.41,444.66,675.54,690.23,588.88
ALOX5,113.34,63.83,57.89,63.74,61.68,110.72,89.32,48.46,101.77,46.7,30.64,72.03,71.85,32.49,85.76,176.65,65.7,31.68,73.38,87.73,98.09,54.72,42.01,31.93,34.75,35.61,38.11,37.26,48.88,35.77,38.71,50.7,77.59,26.84,43.72,37.69,29.88,31.06,56.68,115.86,65.41,48.27,20,20,20,31.54,52.81,73.59,63.26,56.43,42.05,20
ANP32B,524.21,317.95,371.74,588.45,514.01,488.19,503.24,458.64,570.96,252.85,270.94,244.35,301.52,322.31,236.92,185.83,237.03,217.03,223.65,362.9,304.27,148.08,202.04,251.12,296,197.5,300.94,317.07,173.52,259.61,250.9,321.91,279.32,262.82,224.5,251.26,376.48,352.03,393.09,464.37,255.1,315.15,227.45,354.16,269.76,320.45,363.91,433.98,343.81,275.86,410.37,232.58
APOE,20,24.82,42.66,33.01,36.38,35.23,26.89,31.92,34.28,46.7,40.21,28.25,42.4,24.59,35.38,33.27,47.66,41.19,40.19,20,21.35,46.68,60.01,40.64,28.31,36.69,43.37,20,70.88,41.54,32.98,20,20,45.85,28.36,20,46.31,41.41,27.43,34.67,47.1,27.45,66.63,192.82,65.62,33.57,20,20,24.75,47.02,43.5,76.7
APP,469.66,323.86,417.44,276.58,235.65,289.39,339.98,289.6,275.3,216.4,251.79,271.18,179.03,277.52,309.81,345.28,109.5,114.06,267.33,197.2,190.17,112.67,86.02,136.45,141.56,182.39,216.83,185.6,139.31,198.46,266.67,226.01,210.14,150.98,157.15,185.76,276.38,313.2,473.54,357.63,253.79,251.74,176.91,169.21,199.28,246.19,328.33,247.65,251.21,221,258.11,136.09
AREG,20,20,20,20,20,20,20,20,29.99,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ARG1,20,20,20,20,20,20,20,20,23.57,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ARG2,269.9,120.56,396.11,368.78,483.96,819.1,256.42,88.65,651.3,377,405.93,1031.06,219.07,451.41,639.99,800.68,296.29,472.07,791.5,130.47,204.85,162.56,168.04,182.9,178.89,505.08,482.29,340.27,344.6,308.07,408.61,189.36,150.65,105.13,132.34,136.4,195.71,205.78,440.63,326.61,56.25,131.55,296.38,145.6,274.62,342.83,538.41,237.14,194.37,286.83,232.01,116.29
ARHGDIB,5324.23,4265.73,3156.72,4805.52,3969.73,3608.57,3650.42,3044.97,2823.74,2555.83,2773.52,2603.08,2760.81,2909.56,2848.34,3421.8,1299.83,1018.59,1745.49,2193.17,2191.97,1409.97,1038.23,1416.75,2005.07,1850.89,2122.33,1975.55,1644.8,1624.59,2055.95,2352.93,2225.49,1626.14,1943.7,1608.09,2158.76,2281.7,3446.41,3813.49,3107.02,2166.28,1785.15,1487.49,2758.36,2442.55,3462.35,3488.75,2907.23,2434.15,2744.96,1917.57
ATF2,163.64,150.11,216.34,237.89,270.45,193.77,192.08,205.68,224.96,171.98,148.39,159.6,144.87,173.89,185.46,193.86,144.28,125.15,134.54,101.97,142.79,104.62,140.03,166.93,118.4,159.73,114.33,117.41,188.19,162.69,131.9,142.32,142.25,119.67,121.7,152.55,236.04,204.49,219.4,216.22,108.58,168.46,140.15,208.56,177.41,209.57,194.01,162.96,159.53,221,213.16,163.3
ATG10,70.13,72.1,57.89,79.67,101.22,55.36,81.63,80.38,64.27,69.48,72.76,73.45,54.18,58.84,56.82,60.8,86.31,115.64,101.34,69.73,58.72,75.65,90.02,92.9,63.06,73.39,69.65,39.37,105.09,96.92,80.29,56.2,54.31,48.09,85.07,62.82,92.63,94.48,66.73,67.51,64.1,52.05,62.03,121.99,72.91,46.8,51.66,46.73,40.34,51.72,52.2,76.7
ATG12,311.69,314.4,268.14,266.34,287.84,218.93,226.65,237.59,241.03,176.54,244.13,303.67,188.45,259.96,262.64,174.36,161.03,167.92,188.7,163.46,158.14,164.17,138.03,188.71,150.57,188.87,185.29,117.41,163.75,168.46,192.12,179.58,165.52,221.44,166.6,140.89,222.6,236.84,262.37,288.29,227.63,206.31,181.5,263.66,323.23,220.76,266.33,251.74,204.45,261.75,232.01,212.79
ATG16L1,21.96,31.91,42.66,46.67,34.79,46.55,36.49,30.73,38.56,20,30.64,32.49,24.73,30.74,27.87,20,25.76,20,20,20,20,20,20,20,20,23.74,28.91,20,48.88,28.85,20,20,20,27.96,33.08,20,29.88,34.94,36.57,34.67,28.78,20,55.14,20,20,21.36,20,22.2,25.67,32.92,20,51.96
ATG5,184.18,176.11,195.01,224.23,208.77,215.16,184.39,203.31,199.25,115.04,184.77,196.33,103.65,154.57,136.15,149.12,109.5,126.73,141.53,105.72,122.11,107.84,128.03,162.58,86.23,142.46,116.96,98.43,97.76,130.38,129.03,125.83,119.62,120.79,112.25,104.1,170.31,161.78,219.4,196.15,164.84,119.24,149.34,208.56,162.83,163.79,211.23,141.35,131.11,175.55,156.61,131.14
ATG7,228.1,179.66,217.86,162.76,189.79,260.45,87.39,81.56,140.33,54.67,157.97,221.75,109.54,178.28,268,261.54,51.53,98.22,197.44,45.74,52.05,54.72,46.01,79.84,51.48,165.12,130.1,82.26,63.54,113.08,151.97,67.8,46.55,32.43,49.63,45.77,70.22,113.89,155.41,92.14,73.26,63.41,75.82,20,89.92,97.66,166.46,58.99,47.67,61.13,53.65,20
ATM,206.14,185.57,191.96,455.28,379.58,232.77,290.04,243.5,141.4,199.32,125.42,107.34,191.98,166.86,116.85,91.77,168.76,147.32,103.09,129.72,157.47,162.56,144.03,204.67,223.93,141.38,144.55,130.06,175.97,154.61,159.14,154.54,191.38,201.31,206.78,216.27,253.97,221.31,164.55,162.39,150.45,229.03,156.23,192.82,199.28,201.43,161.87,148.94,165.03,202.19,194.31,192.99
B2M,41512.14,40228.39,70465.52,39041.71,58032.38,77141.41,31684.03,40620.1,58123.5,28386.36,71106.36,148385.2,31020.22,51779.36,111395.26,110414.1,18573.72,41558.01,77711.84,25182.04,20493.71,19618.83,20190.44,20404.99,28980.81,55083.07,67658.25,34131.38,33587.73,49889.2,59232.53,37623.61,24931.09,25343.82,24432.77,23392.7,32456.15,42929.16,58453.68,54916.06,24548.77,24411.07,28445.21,29962.29,34018.98,39761.45,67815.38,43925.67,26703.26,30042.09,26264.91,23466.12
B3GAT1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
BAD,25.5,20,20,20,20,20,20,20,20,20,20,20,20,20.2,20,20,20,20,20,20.24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.28,20,20,20,20,20,20,24.11,22.2,21.09,20,20,20
BATF,77.92,57.92,134.07,72.85,126.53,256.68,57.62,50.83,133.9,58.09,121.59,320.62,70.67,93.97,196.18,156.01,63.12,68.12,248.11,35.99,47.38,53.12,20,34.84,39.9,59.36,170.84,49.92,78.21,72.69,136.2,63.53,67.89,70.46,50.81,42.18,80.67,82.83,137.13,139.58,69.34,59.62,64.33,86.57,99.64,67.14,244.52,78.85,81.6,78.37,76.85,69.28
BATF3,26.92,41.37,38.09,20,39.54,20,24.01,24.82,36.42,20,66.06,66.38,20,39.52,48.24,24.09,20,53.86,50.67,20,20,20,20,20,20,57.2,28.91,20,20,51.92,37.28,20,20,20,20,20,20,33.65,31.08,34.67,20,20,20,20,20,25.43,41.33,20,20,20,20,20
BAX,344.28,256.49,379.35,416.58,305.24,320.85,330.37,319.15,403.85,306.38,331.25,442.09,335.68,364.46,382.71,595.34,219,250.29,330.23,368.15,324.96,260.75,160.04,255.48,284.42,323.77,331.16,305.12,315.27,270,325.45,343.29,255.4,256.11,225.68,179.47,313.73,330.03,556.73,736.24,399.01,287.7,291.78,247.91,340.24,326.56,427.05,418.21,334.64,319.75,298.71,227.63
BCAP31,254.31,223.39,216.34,169.59,227.75,210.12,182.47,225.77,174.61,152.62,187.65,210.45,150.76,186.18,248.71,240.89,106.92,158.41,193.94,148.46,120.11,101.4,148.03,107.42,123.55,137.06,170.84,135.69,161.3,173.07,180.65,138.05,140.95,112.96,154.79,134.61,177.78,176.01,221.23,189.76,168.76,165.62,156.23,149.54,199.28,174.98,207.79,205.01,157.69,142.63,158.06,128.66
BCL10,93.51,86.28,80.75,76.26,88.57,76.75,77.79,78.02,57.85,129.84,202.96,283.89,45.93,77.28,96.48,111.27,54.11,44.36,90.86,45.74,44.71,43.46,52.01,50.81,198.19,194.26,180.04,118.81,61.1,60,63.08,47.03,50.43,154.34,42.54,45.77,71.71,72.48,79.53,81.2,53.64,55.84,55.14,20,133.67,145.47,149.24,126.16,101.77,155.17,159.51,128.66
BCL2,119.72,74.46,268.14,228.78,259.38,191.25,240.1,225.77,161.75,111.62,120.63,148.3,103.65,201.11,196.18,141.09,123.67,106.14,157.25,95.97,110.1,77.26,58.01,152.42,157.01,148.93,206.32,136.39,109.98,139.61,150.54,150.88,120.26,102.89,101.62,113.97,161.35,170.84,321.79,231.73,44.48,161.83,107.98,94.44,102.07,130.22,291.59,154.78,121.02,128.53,124.71,121.24
BCL2L1,2450.31,5751.47,2600.64,2738.53,3351.34,2488.76,5615.37,8657.36,3705.36,5489.8,1825.72,1542.35,2900.97,1307.68,1005.55,1924.83,7017,5362.27,1535.82,1676.55,5414.86,10561.88,9065.99,14719.12,2289.48,1344.73,795.05,1770.27,1385.74,1615.36,732.63,979.78,6664.2,3744.37,5871.28,4435.71,4734.34,2950.81,1094.26,876.74,7719.81,7901.37,8293.93,3832.84,3485.01,5351.04,2701.23,1373.19,9810.87,11912.13,15928.89,9748.68
BCL2L11,228.1,216.3,178.25,167.32,173.97,135.89,144.06,152.48,124.26,100.23,98.61,103.11,82.45,110.66,78.26,95.21,76.01,64.95,89.11,149.96,141.46,85.31,78.02,95.8,100.38,111.16,91.99,94.91,100.2,99.23,116.13,134.38,117.68,95.06,79.17,69.1,146.41,185.07,178.26,127.72,156.99,118.3,96.49,114.12,145.82,135.3,120.54,132,133.86,122.26,143.56,91.55
BCL3,322.32,219.85,292.51,239.02,308.41,257.93,171.91,85.11,415.63,151.48,115.84,193.5,182.56,211.65,187.6,175.51,121.09,188.51,344.21,90.73,89.41,98.18,76.02,103.06,119.69,250.38,219.46,118.11,129.53,175.38,227.96,108.73,85.99,67.1,94.53,87.94,109.06,139.78,226.71,128.64,90.27,83.28,130.96,20,204.14,157.68,215.82,47.31,103.6,125.39,116,74.23
BCL6,439.2,213.94,600.26,382.44,427.02,785.13,279.47,100.47,384.57,351.94,247,439.26,387.5,460.19,459.89,351.01,324.63,274.05,1076.3,87.73,224.87,178.66,132.03,164.03,186.61,444.64,620.27,287.55,215.07,218.07,464.52,156.37,151.94,71.58,152.42,154.35,132.96,116.48,343.73,185.2,120.36,131.55,144.74,90.51,230.88,231.95,367.36,109.81,182.45,178.68,172.56,61.86
BID,239.43,186.75,341.27,207.15,298.92,289.39,242.98,295.51,305.3,170.84,243.17,423.72,163.72,252.93,360.2,361.34,162.32,175.84,279.56,224.94,171.49,120.72,146.03,146.61,167.3,249.3,269.4,196.15,212.63,257.3,325.45,290.15,190.74,161.05,154.79,158.83,215.13,291.2,372.07,423.32,154.37,177.92,195.29,165.28,218.72,261.45,362.77,311.9,196.2,203.76,204.46,175.67
BIRC2,221.72,173.75,333.65,327.8,359.02,388.79,297.72,286.06,274.23,189.07,245.09,310.73,150.76,241.51,316.24,349.87,176.49,136.23,269.07,133.46,182.16,172.22,154.03,227.9,133.84,191.02,180.04,127.25,127.09,147.69,172.05,193.63,181.69,140.92,124.07,148.07,219.61,261.43,339.16,248.15,163.53,229.97,213.67,216.43,138.53,235,313.4,229.55,259.46,308.78,272.61,200.42
BLK,23.38,28.37,31.99,48.94,42.7,20,38.42,20,20,20,20,20,27.09,20.2,20,20,39.94,20,20,20,41.37,20,20,36.29,29.6,20,20,37.96,20,24.23,20,20,33.62,32.43,27.18,27.82,29.88,20,20,22.81,45.79,32.18,20,20,20,21.36,20,20,20,20,29,20
BLNK,48.17,60.28,80.75,73.98,90.15,75.49,50.9,47.28,68.56,46.7,39.25,49.43,56.54,47.42,32.16,42.44,48.95,58.61,41.93,40.49,74.73,35.41,56.01,20,55.34,46.41,20,65.38,20,57.69,58.78,32.37,43.32,46.97,28.36,41.28,35.85,59.53,29.25,58.39,60.18,45.43,52.84,20,63.19,46.8,41.33,35.05,32.09,53.29,44.95,20
BST2,490.2,706.82,1179.2,365.37,895.17,835.46,244.9,511.83,580.6,143.51,973.65,1194.9,187.27,706.97,653.93,503.58,76.01,495.83,726.85,157.46,101.42,85.31,62.01,98.71,124.83,549.33,509.88,95.61,149.08,522.68,655.21,285.87,151.94,100.66,120.52,84.35,152.38,569.46,585.07,468.93,162.22,131.55,181.5,145.6,194.42,375.39,619.92,195.67,135.69,130.09,139.21,101.45
BTK,101.3,88.65,123.4,83.09,88.57,144.7,91.24,94.56,94.27,58.09,40.21,64.97,47.11,64.11,99.7,81.44,41.22,44.36,85.61,106.47,82.74,40.24,20,40.64,57.91,71.23,90.68,72.41,65.99,79.61,100.36,90.4,78.88,49.21,49.63,56.53,68.72,67.3,82.28,165.13,122.97,53,20,20,68.05,45.78,82.66,96.96,77.01,72.1,56.55,20
BTLA,24.79,35.46,20,47.8,64.84,37.75,40.34,26.01,44.99,26.2,27.76,20,32.98,22.83,20,20,46.38,34.85,20,20.99,20,20,20,20,38.61,37.77,34.17,21.79,20,30,20,20,20,31.31,20,23.33,46.31,20,25.6,32.84,20,22.71,20,20,20,34.59,25.26,20,22,20,20,20
C10orf54,1112.87,721,1275.18,942.44,1171.94,1546.35,829.77,692.68,1154.78,657.18,741.97,1498.57,623.07,1044.21,1506.18,1948.92,550.07,717.61,1217.82,488.12,495.78,418.48,390.09,544.35,380.94,826.69,893.61,755.07,435.03,618.45,984.96,614.5,466.82,315.39,465.54,337.41,493,547.45,1107.06,850.28,616.17,509.16,611.13,314.81,668.33,791.47,1125.03,502.9,634.44,721,826.53,564.14
C14orf166,384.65,284.86,429.63,506.5,523.5,431.57,414.89,430.27,422.06,340.55,375.29,439.26,320.37,301.23,353.77,302.83,311.75,392.86,335.47,356.16,292.26,334.79,330.07,442.73,298.57,324.85,328.53,265.05,351.93,362.3,339.79,361,309.06,342.23,313.12,263.83,457.15,462.04,513.76,580.23,404.24,322.72,379.09,425,418.01,386.58,409.83,453.84,341.97,412.22,400.22,351.35
C1QA,38.25,40.19,73.13,20,20,40.26,20,20,389.93,36.45,164.67,186.44,20,83.43,51.46,30.97,20,69.7,69.89,114.72,20,20,20,31.93,20,35.61,64.39,23.9,20,23.08,58.78,98.34,20,20,20,20,20,62.12,84.1,165.13,20,20,20,20,20,33.57,50.51,106.3,20,20,20,20
C1QB,201.89,261.22,418.97,36.42,74.33,94.37,51.86,111.11,584.89,80.87,212.54,218.92,49.47,142.27,88.98,37.85,36.07,115.64,290.04,218.94,44.04,62.77,44.01,40.64,20,85.26,229.97,33.75,20,49.61,173.48,197.91,20,20,34.27,20,34.36,152.72,381.21,439.74,70.64,47.32,48.25,20,72.91,65.11,168.75,161.79,42.17,43.89,39.15,20
C1QBP,249.35,182.02,178.25,335.77,278.36,246.61,299.64,226.95,469.2,152.62,167.54,207.62,176.67,177.4,176.88,152.56,113.36,129.9,174.72,272.93,176.83,138.42,130.03,149.51,209.77,150.01,203.69,234.82,173.52,136.15,147.67,208.9,168.11,180.06,132.34,124.73,168.82,187.66,207.52,349.42,252.49,158.99,158.53,212.5,252.75,191.25,253.71,287.37,201.7,231.97,216.06,165.78
C1R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C1S,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C2,20,52.01,163.02,25.04,50.61,99.4,20,43.74,61.06,20,20,31.07,20,28.1,35.38,42.44,20,20,62.9,24.74,20,20,20,20,20,28.06,55.19,21.09,20,36.92,74.55,59.25,20,20,20,20,20,31.06,70.39,79.37,20,20,20,20,20,20,43.62,29.79,20,20,20,20
C3,20,20,20,20,20,20,20,20,24.64,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C3AR1,323.02,291.95,198.06,66.02,107.55,129.6,150.78,145.39,175.68,33.03,84.25,53.67,42.4,113.29,57.89,36.71,20,58.61,55.91,127.47,114.77,32.19,20,20,38.61,84.18,101.19,27.42,20,38.08,88.89,120.33,88.58,22.37,59.08,35,37.35,51.77,97.82,297.42,256.41,54.89,20,20,55.9,59,91.84,128.5,132.02,65.83,39.15,20
C4A,63.05,54.37,123.4,55.77,77.5,147.21,37.45,37.83,99.62,37.59,120.63,207.62,30.62,100.12,151.15,158.3,27.05,63.37,103.09,38.99,24.69,20,20,33.39,20,72.31,67.02,41.48,20,60,51.61,44.59,39.44,26.84,31.9,29.61,37.35,45.3,72.22,112.22,20,34.07,20,20,53.47,52.9,94.14,64.83,49.51,62.7,37.7,20
C4B,20,31.91,152.35,31.87,52.19,124.56,25.93,20,81.41,27.34,29.68,28.25,24.73,33.37,51.46,78,34.78,31.68,73.38,27.74,20,20,20,20,28.31,28.06,43.37,26.72,51.32,23.08,43.01,43.98,20,23.49,20,21.54,49.3,37.53,39.31,110.39,20,20.82,20,90.51,58.33,20,47.07,21.03,20,20,20,20
C4BPA,20,20,20,178.7,268.87,154.76,237.21,263.6,160.68,20,20,20,20,22.83,20,20,153.3,221.78,113.57,51.74,46.71,141.64,88.02,126.29,970.36,1016.64,503.31,469.63,151.53,167.31,123.3,51.31,53.02,498.8,115.8,147.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,31.9,20
C5,1089.5,1543.65,1112.16,845.69,1214.64,1245.64,1649.94,2182.07,2337.41,2387.27,1692.64,2115.79,1368.63,765.81,2240.51,2566.06,1982.59,1731.45,1078.05,494.87,1034.26,1773.73,1952.43,3954.13,1141.52,763.02,692.55,673.52,403.26,379.61,292.48,304.19,764.89,1035.63,1334.01,1077.74,1538.77,1263.16,570.44,257.27,1066.2,2195.61,2467.5,1833.78,1470.32,2125.15,1474.02,459.09,1845.56,3866.74,5833.59,3545.65
C5aR1,139.55,60.28,169.11,213.98,317.89,497,154.62,93.38,546.32,105.92,101.48,244.35,144.87,400.47,351.62,845.41,114.65,148.91,176.47,120.72,180.83,111.06,66.01,100.16,70.78,172.68,120.9,212.32,73.32,102.69,114.7,109.95,107.98,40.26,66.17,50.25,89.64,81.54,152.67,226.25,83.73,59.62,75.82,20,131.23,118.01,218.12,130.84,148.52,130.09,91.35,56.91
C6,20,20,20,20,20,20,20,20,24.64,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C8A,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C8B,20,20,20,20,20,20,20,20,33.21,20,21.06,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C8G,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,31.37,20,20,20,20,20,20,20,20,20,20,20,20,36.05,20,20
C9,20,20,35.04,33.01,20,37.75,36.49,24.82,34.28,41,21.06,29.66,29.45,20,25.73,20,43.8,45.94,59.41,20,20,61.16,54.01,20,29.6,29.14,32.85,20,61.1,36.92,47.31,20,20,39.14,33.08,31.41,38.84,28.47,20,25.54,20,20,45.95,98.38,77.77,24.42,20,20,20.17,20,20,71.75
CAMP,357.74,202.12,289.47,165.04,243.56,484.41,98.92,39.01,373.86,153.76,270.94,1015.52,164.89,290.69,650.71,929.15,345.25,182.17,470.01,146.21,629.9,334.79,136.03,140.8,90.09,158.65,279.91,198.26,90.43,123.46,303.95,136.22,343.33,76.05,111.07,77.17,53.78,56.95,203.86,136.85,294.35,144.8,147.04,102.31,291.63,160.73,410.98,230.13,256.71,542.32,291.46,138.56
CARD9,89.26,79.19,67.03,61.46,64.84,47.81,76.83,85.11,29.99,39.86,44.04,48.02,36.51,63.23,46.1,35.56,33.49,49.11,41.93,38.24,27.36,35.41,20,20,27.03,55.04,48.62,27.42,56.21,54.23,64.52,66.58,32.98,25.72,28.36,27.82,37.35,51.77,76.79,90.32,39.25,41.64,20,20,60.76,33.57,45.92,35.05,23.84,40.75,20,59.38
CASP1,1147.59,1328.54,3107.97,842.27,2203.12,3387.13,731.81,770.7,1679.68,448.75,2215.37,5008.41,504.11,1489.47,2343.43,1639.21,234.46,1387.7,2942.35,430.39,330.96,251.09,214.05,380.32,221.36,1435.38,1402.18,291.06,300.61,934.6,1611.5,759.88,368.54,300.85,274.13,258.44,406.36,1018.55,1730.52,1403.14,503.67,334.07,333.14,303.01,551.67,890.14,2450.96,676.37,354.81,416.92,433.57,242.48
CASP10,273.44,359.32,528.66,254.96,422.28,406.4,226.65,260.05,246.38,175.4,264.24,234.46,183.74,291.57,278.72,252.36,104.35,131.48,344.21,169.45,202.85,107.84,68.01,133.55,126.12,241.75,223.4,126.55,114.87,213.46,210.76,197.91,184.92,123.02,113.43,137.3,182.26,261.43,314.47,272.78,257.72,194.96,151.63,110.18,165.26,224.82,277.81,245.9,223.7,159.87,168.21,123.71
CASP2,199.76,189.12,167.59,194.63,170.81,142.18,169.03,179.67,86.77,107.06,95.74,66.38,121.32,103.63,77.19,56.21,64.41,42.77,71.64,99.72,72.06,53.12,66.01,84.19,74.64,100.37,74.91,59.76,100.2,79.61,104.66,83.68,95.69,83.88,87.44,60.12,107.56,138.48,174.61,129.55,128.21,106.94,68.92,98.38,155.54,119.02,134.32,95.79,125.6,94.04,142.11,98.97
CASP3,1588.91,771.83,792.23,951.54,798.69,1902.43,679.95,469.28,1251.19,452.17,427.95,1591.79,659.58,1054.75,1802.06,2672.74,680.19,652.66,1086.78,644.83,773.36,500.57,392.09,682.25,453.01,760.86,725.4,959.66,740.53,731.53,702.52,602.28,593.55,316.5,466.73,517.78,377.97,359.79,622.55,832.95,639.72,385.18,360.71,255.79,415.58,574.78,785.23,665.27,569.34,581.5,549.57,284.54
